#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      3.18e+01    3.15e+01      8.30e-02    5.35e-02      1.01e+00    9.96e-01    1.0e-03
   1000      1.65e+01    1.66e+01      1.31e-01    4.31e-02      5.24e-01    5.28e-01    9.9e-04
   2000      1.17e+01    9.76e+00      6.44e-02    1.25e-01      3.72e-01    3.10e-01    9.9e-04
   3000      1.04e+01    1.09e+01      2.28e-01    2.29e-01      3.30e-01    3.46e-01    9.8e-04
   4000      9.86e+00    1.40e+01      2.34e-02    1.46e-01      3.15e-01    4.46e-01    9.8e-04
   5000      1.01e+01    7.68e+00      1.91e-01    5.36e-02      3.21e-01    2.46e-01    9.7e-04
   6000      8.26e+00    1.07e+01      7.22e-02    1.43e-01      2.65e-01    3.45e-01    9.7e-04
   7000      8.36e+00    5.85e+00      2.57e-02    6.42e-02      2.69e-01    1.88e-01    9.6e-04
   8000      6.54e+00    4.11e+00      6.77e-02    8.83e-02      2.11e-01    1.33e-01    9.6e-04
   9000      6.61e+00    4.12e+00      1.62e-01    1.48e-01      2.12e-01    1.33e-01    9.5e-04
  10000      5.97e+00    3.85e+00      7.14e-02    4.50e-02      1.93e-01    1.25e-01    9.5e-04
  11000      6.41e+00    6.08e+00      1.08e-02    3.57e-03      2.08e-01    1.98e-01    9.5e-04
  12000      7.00e+00    4.60e+00      3.51e-02    2.41e-02      2.28e-01    1.50e-01    9.4e-04
  13000      6.17e+00    4.70e+00      1.22e-02    3.99e-03      2.02e-01    1.54e-01    9.4e-04
  14000      5.12e+00    5.46e+00      8.41e-02    6.14e-02      1.67e-01    1.79e-01    9.3e-04
  15000      6.40e+00    3.95e+00      7.74e-02    2.08e-02      2.10e-01    1.30e-01    9.3e-04
  16000      5.24e+00    2.91e+00      1.12e-01    7.75e-02      1.70e-01    9.57e-02    9.2e-04
  17000      4.81e+00    4.81e+00      2.08e-02    1.36e-03      1.59e-01    1.59e-01    9.2e-04
  18000      5.01e+00    3.45e+00      1.55e-02    2.10e-02      1.66e-01    1.14e-01    9.1e-04
  19000      5.67e+00    4.83e+00      2.11e-01    2.56e-01      1.81e-01    1.59e-01    9.1e-04
  20000      6.14e+00    5.50e+00      1.14e-01    9.29e-02      2.02e-01    1.81e-01    9.0e-04
  21000      4.40e+00    3.25e+00      3.55e-02    1.17e-02      1.47e-01    1.09e-01    9.0e-04
  22000      4.39e+00    2.01e+00      4.17e-02    7.84e-02      1.47e-01    6.70e-02    8.9e-04
  23000      4.74e+00    4.77e+00      4.90e-02    1.37e-02      1.57e-01    1.60e-01    8.9e-04
  24000      4.55e+00    4.17e+00      4.18e-02    3.49e-02      1.53e-01    1.40e-01    8.8e-04
  25000      5.89e+00    4.94e+00      6.01e-02    4.20e-02      1.98e-01    1.67e-01    8.8e-04
  26000      5.37e+00    4.97e+00      2.14e-02    1.49e-04      1.81e-01    1.68e-01    8.8e-04
  27000      5.00e+00    3.34e+00      7.92e-03    7.95e-03      1.70e-01    1.13e-01    8.7e-04
